#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321AE3681
#Date Time: 2020-09-14 11:53:59.488
#Start: 14461 Hz
#Stop: 20879.6 Hz
#Steps: 151
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.44198 V
#Offset: -0.00025017 V
#Relative: no
#Channel: Channel 2
#Range: 5.4844 V
#Offset: 0.000101632 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
16185.21372167576,0.02374246847824411,-60.43543034514131,-75.78279720288259
16224.89678717262,0.02367671290277023,-60.20740757981756,-77.59674748746801
16264.67714799805,0.0224640501025016,-61.02835962479624,-78.75234096617933
16304.55504270171,0.02317556290753053,-61.96921338976761,-69.04776274805566
16344.5307104181,0.02434016176199568,-61.84628720136921,-74.76707317783323
16384.60439086807,0.02300493252947062,-62.67505416099009,-74.40016996967114
16424.77632436018,0.02408448936684715,-63.81789362182698,-72.40493221680168
16465.04675179222,0.02404147587500874,-64.48953772095139,-70.14459627428869
16505.41591465258,0.0238746441923499,-65.10341716392082,-69.25097224874573
16545.88405502176,0.02386652631223253,-64.91503754480372,-57.26470265263777
16586.45141557378,0.02249935171347916,-67.97833392670464,-66.93244987887385
16627.11823957766,0.02221939848390444,-68.13554729213193,-58.58389661184867
16667.88477089886,0.01986093951233909,-67.49799656556802,-61.94374279529617
16708.75125400077,0.01751141717605266,-72.07802143399498,-64.69609593192325
16749.71793394613,0.0125527793411254,-70.03347026555144,-49.18382251072058
16790.78505639854,0.009223270805677086,-71.0636753856151,-48.77227501871788
16831.95286762394,0.01396656917546888,-74.73726426123075,-48.84094055788417
16873.22161449203,0.01902308123456719,-73.73583741593427,-18.8508933142145
16914.59154447782,0.02111534457548547,-75.04903885882351,10.32986495018182
16956.06290566306,0.02354694319025454,-77.43513813059786,13.5378952044878
16997.63594673777,0.02375950820903458,-74.85182552866563,37.33980330936797
17039.31091700169,0.02451914134814364,-76.01230335375412,51.13586530986508
17081.08806636581,0.02476650403585653,-72.52736359152576,36.7709532574836
17122.96764535384,0.02472631294540232,-70.03303119643319,47.18654846627761
17164.94990510375,0.02495831019808501,-68.92142008433244,65.04699072862864
17207.03509736921,0.02440924227810219,-69.886348369549,57.11998357737755
17249.2234745212,0.02450529727720447,-67.15575763043014,66.44138030760743
17291.51528954941,0.02377449092416783,-66.20359732554741,76.10829699065906
17333.91079606386,0.02478829594682493,-66.71996779653728,68.24346435675898
17376.41024829634,0.02459118029652684,-64.97043513340267,76.72227016863221
17419.01390110197,0.02526038548401706,-64.35041321166642,71.69993387179636
17461.72200996076,0.02474329738432177,-63.90785281492185,79.15879955923211
17504.53483097906,0.02556987153678953,-63.53584968775858,78.60849798308098
17547.45262089118,0.02504917154084955,-62.40903984391078,76.63143307539474
17590.47563706088,0.02456247506685361,-62.19758130125246,80.89690487131566
17633.60413748293,0.02360688105425769,-61.58472875640925,87.27499442204196
17676.83838078465,0.0219890703907775,-60.83912420303395,81.68333756029442
17720.17862622748,0.01748888459621853,-60.97520210040661,85.12885650571289
17763.62513370848,0.02467419771377005,-60.81282031475077,84.32093212379752
17807.17816376199,0.02441584797447363,-59.91698039629787,84.30066372385136
17850.83797756107,0.02478880470143219,-59.29753598227911,84.13650649670166
17894.60483691916,0.02594235627335514,-59.19516675054307,86.81763969797441
17938.47900429161,0.02622958093137387,-58.49217533223755,87.80361664203835
17982.46074277727,0.02596171785724689,-58.32008792760309,84.03139754074607
18026.55031612004,0.02566900444544815,-57.39482933490728,83.26397251491802
18070.74798871047,0.02523115798780626,-57.55123113317538,82.52064743278935
18115.05402558737,0.02503325018225011,-57.15474875291149,84.43595816637178
18159.46869243936,0.02259545845610936,-56.77047733205802,86.34918321592124
18203.99225560646,0.01962384772825254,-56.5196863583671,85.73952533083148
18248.62498208174,0.01687454113537479,-56.38686369212578,87.11507840235899
18293.36713951285,0.01229053926821063,-55.89477330440552,86.2851790565461
18338.21899620369,0.01406739974890331,-55.85499798812256,87.07425274880497
18383.18082111598,0.01780889338287748,-55.22057436620756,87.71417171839869
18428.25288387088,0.02211044919747625,-55.44537251728526,87.30927950904425
18473.43545475061,0.02402073689305796,-54.92164291277865,89.44339888408075
18518.72880470007,0.02519615980947361,-54.84504499174221,89.69431861800786
18564.13320532848,0.02660557465102804,-54.45130497479339,88.5402688543972
18609.64892891097,0.02688700246620939,-54.17453099649202,89.28808634855534
18655.27624839026,0.02564895908029798,-54.39067721029778,89.35992939038508
18701.01543737825,0.02722515708345088,-53.9543857912047,90.54073620717145
18746.8667701577,0.02674141213090161,-53.57367520543322,88.75401298767706
